scope,entry_year,graduation_year,component,n_schools,weighted_slope_mz_pct_per_jpz_percentile,weighted_slope_mz_school_mean_percentile_per_jpz_percentile,pearson_correlation,programme_identity,school_type
cohort_specific,2017,2021.0,CJ,1136,0.443606584424748,1.2880027844971675,0.8168377543513893,,
cohort_specific,2017,2021.0,M,421,0.5401151610759211,1.296964211657138,0.7242229306167143,,
cohort_specific,2017,2023.0,CJ,61,0.5346651883931757,1.4110968543388889,0.7448345733815833,,
cohort_specific,2017,2023.0,M,33,0.612606360394516,1.6678989542523517,0.7020629496943613,,
cohort_specific,2017,2025.0,CJ,258,0.3390593704579664,0.7101306065806045,0.6227739251957436,,
cohort_specific,2017,2025.0,M,200,0.3936860413341872,0.8059943746281281,0.401877957385219,,
cohort_specific,2018,2022.0,CJ,1144,0.47787740998155226,1.3946789921814635,0.8181407208320116,,
cohort_specific,2018,2022.0,M,396,0.4996952254362797,1.200848453738925,0.7158706642218998,,
cohort_specific,2018,2024.0,CJ,63,0.31262144734573954,0.9182125346287432,0.5400586807217868,,
cohort_specific,2018,2024.0,M,36,0.09811170188173368,0.2895677217341872,0.11745036958979688,,
cohort_specific,2018,2026.0,CJ,256,0.2499085391475576,0.5615381598939148,0.5769846221087702,,
cohort_specific,2018,2026.0,M,188,0.37436557106441815,0.765043639213744,0.32736367752489404,,
cohort_specific,2019,2023.0,CJ,1150,0.4510991586284091,1.390695362723865,0.8196301770630589,,
cohort_specific,2019,2023.0,M,402,0.556961873745609,1.4114843033316062,0.7614445636733319,,
cohort_specific,2019,2025.0,CJ,62,0.5254393535795774,1.1453968248840098,0.6349474086240521,,
cohort_specific,2019,2025.0,M,40,0.2516656003441699,0.6182237401079299,0.23673671345568661,,
cohort_specific,2020,2024.0,CJ,1167,0.436802422122249,1.4210857551336602,0.8268159091942182,,
cohort_specific,2020,2024.0,M,440,0.44765271173538923,1.2828699005607025,0.7247428335281346,,
cohort_specific,2020,2026.0,CJ,62,0.5235253259388712,1.247393939052494,0.61331961807456,,
cohort_specific,2020,2026.0,M,36,0.08925585273400016,0.2201472921785527,0.42746551321725884,,
cohort_specific,2021,2025.0,CJ,747,0.48044332299927517,1.3532200839176598,0.8775120435075575,,
cohort_specific,2021,2025.0,M,401,0.43703761065273883,1.2581669914155218,0.7384316119841676,,
cohort_specific,2022,2026.0,CJ,1213,0.5079662881623006,1.4362774162260477,0.8269601842645071,,
cohort_specific,2022,2026.0,M,492,0.5371169581600723,1.2577074249271405,0.679666383178993,,
pooled_with_cohort_flags,all,all,"('CJ',)",7319,0.4468863862866539,1.3246305645291208,0.6883813680737502,,
pooled_with_cohort_flags,all,all,"('M',)",3085,0.2712562845688104,0.6257546771851209,0.43215863684890243,,
pooled_programme_identity:nan,all,all,CJ,7319,0.4468863862866539,1.3246305645291208,0.6883813680737502,,
pooled_programme_identity:nan,all,all,M,3085,0.2712562845688104,0.6257546771851209,0.43215863684890243,,
pooled_school_type:GY4,all,all,CJ,1631,0.47786704914517325,1.232596128168029,0.7114795156699755,,GY4
pooled_school_type:GY4,all,all,M,1199,0.47774842611360563,1.2909900206371197,0.31680383204931634,,GY4
pooled_school_type:GY6,all,all,CJ,248,0.46378760472172653,1.1262326202097463,0.586301997172601,,GY6
pooled_school_type:GY6,all,all,M,145,0.3058948363160066,0.7323474346339719,0.26669577413656337,,GY6
pooled_school_type:GY8,all,all,CJ,514,0.2958884167161817,0.6306841036655851,0.6006252335340322,,GY8
pooled_school_type:GY8,all,all,M,388,0.3976553080392486,0.7876249139009192,0.3703513942264633,,GY8
pooled_school_type:SOS_AGRICULTURAL,all,all,CJ,403,0.43851862610236886,1.4931975878927652,0.4452339628362986,,SOS_AGRICULTURAL
pooled_school_type:SOS_AGRICULTURAL,all,all,M,153,0.42906181892126477,0.2444801008614774,0.2946015435982628,,SOS_AGRICULTURAL
pooled_school_type:SOS_ECONOMIC,all,all,CJ,645,0.3582934378690861,1.232494834661718,0.5392937355358177,,SOS_ECONOMIC
pooled_school_type:SOS_ECONOMIC,all,all,M,124,0.1768938690938575,0.4059114776344823,0.21171019477663713,,SOS_ECONOMIC
pooled_school_type:SOS_HEALTHCARE,all,all,CJ,387,0.4782794892828898,1.6759220749160775,0.44090255538005535,,SOS_HEALTHCARE
pooled_school_type:SOS_HEALTHCARE,all,all,M,46,1.2096198809836918,0.917220251770516,0.6909121453765212,,SOS_HEALTHCARE
pooled_school_type:SOS_HOTEL_BUSINESS,all,all,CJ,887,0.34368537729776194,1.147506225894127,0.4583082621433034,,SOS_HOTEL_BUSINESS
pooled_school_type:SOS_HOTEL_BUSINESS,all,all,M,57,0.38297033015764353,0.5297290802274767,0.32020135654482396,,SOS_HOTEL_BUSINESS
pooled_school_type:SOS_PEDAGOGICAL_HUMANITIES,all,all,CJ,890,0.47351038930688066,1.5210060080366614,0.5791978459908292,,SOS_PEDAGOGICAL_HUMANITIES
pooled_school_type:SOS_PEDAGOGICAL_HUMANITIES,all,all,M,114,0.3826160656749821,0.43017764588240665,0.4421679336991459,,SOS_PEDAGOGICAL_HUMANITIES
pooled_school_type:SOS_TECHNICAL,all,all,CJ,1714,0.34024881540249075,1.1705689653185152,0.5252937431875409,,SOS_TECHNICAL
pooled_school_type:SOS_TECHNICAL,all,all,M,859,0.4223611866497996,0.9280935696918843,0.43354494850979247,,SOS_TECHNICAL
