school_key,identity_quality,redizo,school_name_raw,address_raw,city,postcode,school_type,programme_taxonomy,programme_identity,classification_quality,programme_group_raw,programme_group_16_raw,kkov_raw,programme_name_raw,programme_focus_raw,component,mean_mz_score_pct,mean_mz_candidates,max_mz_candidates,mz_school_mean_percentile,mz_school_mean_percentile_method,mz_school_mean_percentile_reference,mean_mz_participation_rate_vs_cj,n_years,first_year,last_year,slope_per_year,slope_mz_mean_score_pct_per_year,slope_mz_school_mean_percentile_per_year
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY4,GY4,GY4,authoritative_programme_group16,GY4,GY4,,,,AJ,82.44159722222223,15.25,20.0,54.18408960587996,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2021 component=AJ,0.7985133287764867,4,2021,2026,0.2063095238094948,0.2063095238094948,-0.7292982237521249
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY4,GY4,GY4,authoritative_programme_group16,GY4,GY4,,,,CJ,70.17934039644567,18.75,22.0,60.23783899625458,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2021 component=CJ,1.0,4,2021,2026,-2.0113758422028836,-2.0113758422028836,-4.275964384776119
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY4,GY4,GY4,authoritative_programme_group16,GY4,GY4,,,,M,49.2,5.0,5.0,45.7808564231738,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2021 component=M,0.35714285714285715,4,2021,2026,,,
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,AJ,85.6257163582032,15.818181818181818,24.0,69.66136532112681,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.739372867431642,11,2016,2026,1.1095085738822745,1.1095085738822745,2.3461696019292986
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,CJ,70.72809710213753,21.0,26.0,69.44047132491784,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,1.1397441824971806,1.1397441824971806,0.9562357630568767
redizo:600001431,redizo,600001431,"Biskupské gymnázium, ZŠ a MŠ Bohosudov","Koněvova 100, Krupka, 41742",Krupka,417 42,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,M,55.012698412698434,6.0,7.0,37.445363867304245,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.31588329111548924,11,2016,2026,-1.3619047619046896,-1.3619047619046896,-4.421090481171223
redizo:600001661,redizo,600001661,"Academic School, MŠ, ZŠ a SŠ, s.r.o.","Studentské náměstí 1531, Uherské Hradiště, 68601",Uherské Hradiště,686 01,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,AJ,78.2727272727273,11.0,11.0,33.93420459666516,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=AJ,1.0,1,2026,2026,,,
redizo:600001661,redizo,600001661,"Academic School, MŠ, ZŠ a SŠ, s.r.o.","Studentské náměstí 1531, Uherské Hradiště, 68601",Uherské Hradiště,686 01,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,CJ,64.5454545454545,11.0,11.0,46.49006622516556,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=CJ,1.0,1,2026,2026,,,
redizo:600001661,redizo,600001661,"Academic School, MŠ, ZŠ a SŠ, s.r.o.","Studentské náměstí 1531, Uherské Hradiště, 68601",Uherské Hradiště,686 01,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2026 component=M,,1,2026,2026,,,
redizo:600001873,redizo,600001873,"Gymnázium a Hudební škola hl.m.Prahy,ZUŠ","Komenského náměstí 400, Praha, 13000",Praha,130 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,AJ,92.68440506679522,21.90909090909091,28.0,89.43775842532301,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.6846889740078027,11,2016,2026,0.0303499131007186,0.0303499131007186,-0.2961592370027915
