RED_IZO,NAZEV_SKOLY,ROK_MATURITY,PREDMET,POCET_ZAKU,PRUMERNY_BOD,USPESNOST
600000001,Gymnázium Alfa,2026,CJL,30,73,0.96
600000001,Gymnázium Alfa,2026,MAT,30,71,0.95
600000001,Gymnázium Alfa,2027,CJL,30,74,0.97
600000001,Gymnázium Alfa,2027,MAT,30,72,0.96
600000001,Gymnázium Alfa,2028,CJL,30,75,0.97
600000001,Gymnázium Alfa,2028,MAT,30,73,0.96
600000002,Gymnázium Beta,2026,CJL,30,70,0.94
600000002,Gymnázium Beta,2026,MAT,30,68,0.92
600000002,Gymnázium Beta,2027,CJL,30,69,0.93
600000002,Gymnázium Beta,2027,MAT,30,67,0.91
600000002,Gymnázium Beta,2028,CJL,30,70,0.94
600000002,Gymnázium Beta,2028,MAT,30,68,0.92
600000003,Gymnázium Gamma,2026,CJL,30,71,0.95
600000003,Gymnázium Gamma,2026,MAT,30,69,0.93
600000003,Gymnázium Gamma,2027,CJL,30,72,0.95
600000003,Gymnázium Gamma,2027,MAT,30,70,0.94
600000003,Gymnázium Gamma,2028,CJL,30,71,0.95
600000003,Gymnázium Gamma,2028,MAT,30,69,0.93
